0,1,2,3
249,"Joakim Noah, C",Chicago Bulls,"$2,295,480"
250,"Maceo Baston, SF",Indiana Pacers,"$2,272,860"
RK,NAME,TEAM,SALARY
251,"Mouhamed Sene, C",New York Knicks,"$2,252,400"
252,"Tyronn Lue, PG",Orlando Magic,"$2,250,000"
253,"D.J. Augustin, G",Charlotte Bobcats,"$2,208,960"
254,"Spencer Hawes, PF",Sacramento Kings,"$2,180,760"
255,"JJ Redick, SG",Orlando Magic,"$2,139,720"
256,"Hakim Warrick, PF",Memphis Grizzlies,"$2,119,102"
257,"Brook Lopez, C",New Jersey Nets,"$2,098,560"
258,"Jarron Collins, C",Utah Jazz,"$2,074,302"
259,"Acie Law, PG",Atlanta Hawks,"$2,071,680"
260,"Hilton Armstrong, PF",New Orleans Hornets,"$2,032,800"
RK,NAME,TEAM,SALARY
261,"Nate Robinson, PG",New York Knicks,"$2,020,179"
262,"Jarrett Jack, G",Indiana Pacers,"$2,002,623"
263,"Brevin Knight, PG",Utah Jazz,"$2,000,000"
264,"Walter Herrmann Heinrich, PF",Detroit Pistons,"$2,000,000"
265,"Jerryd Bayless, G",Portland Trail Blazers,"$1,993,560"
266,"Francisco Garcia, SG",Sacramento Kings,"$1,983,454"
267,"Grant Hill, SF",Phoenix Suns,"$1,976,400"
268,"Eddie Jones, SG",New Orleans Pelicans,"$1,976,400"
269,"Thaddeus Young, PF",Philadelphia 76ers,"$1,968,120"
270,"Luther Head, PG",Miami Heat,"$1,962,378"
RK,NAME,TEAM,SALARY
271,"Johan Petro, C",Denver Nuggets,"$1,939,893"
272,"Thabo Sefolosha, F",Oklahoma City Thunder,"$1,931,160"
273,"Anthony Johnson, PG",Orlando Magic,"$1,910,000"
274,"Jarvis Hayes, SF",New Jersey Nets,"$1,910,000"
275,"Brent Barry, SG",Houston Rockets,"$1,910,000"
276,"Jason Thompson, PF",Sacramento Kings,"$1,893,840"
277,"Jason Maxiell, PF",Detroit Pistons,"$1,877,572"
278,"Julian Wright, SF",New Orleans Hornets,"$1,869,600"
279,"Ronnie Brewer, SF",Utah Jazz,"$1,834,680"
280,"Linas Kleiza, SF",Denver Nuggets,"$1,824,493"
RK,NAME,TEAM,SALARY
281,"Antoine Wright, SF",Dallas Mavericks,"$1,800,000"
282,"David Lee, PF",New York Knicks,"$1,788,033"
283,"Al Thornton, SF",LA Clippers,"$1,776,240"
284,"Chuck Hayes, PF",Houston Rockets,"$1,768,000"
285,"Cedric Simmons, SF",Sacramento Kings,"$1,742,760"
286,"Anthony Randolph, SF",Golden State Warriors,"$1,709,280"
287,"Francisco Elson, C",Milwaukee Bucks,"$1,700,000"
288,"Goran Dragic, PG",Phoenix Suns,"$1,700,000"
289,"Rodney Stuckey, PG",Detroit Pistons,"$1,687,320"
290,"Rodney Carney, SG",Minnesota Timberwolves,"$1,655,760"
RK,NAME,TEAM,SALARY
291,"Kosta Perovic, C",Golden State Warriors,"$1,634,000"
292,"Robin Lopez, C",Phoenix Suns,"$1,623,720"
293,"Travis Diener, PG",Indiana Pacers,"$1,620,000"
294,"Nick Young, G",Washington Wizards,"$1,602,960"
295,"Devean George, SF",Dallas Mavericks,"$1,600,000"
296,"Shawne Williams, SF",Dallas Mavericks,"$1,572,960"
297,"Hamed Ehaddadi, C",Memphis Grizzlies,"$1,572,221"
298,"Marreese Speights, F",Philadelphia 76ers,"$1,542,600"
299,"Sean Williams, PF",New Jersey Nets,"$1,522,920"
300,"Ronald Murray, SG",Atlanta Hawks,"$1,500,000"
RK,NAME,TEAM,SALARY
301,"J.J. Barea, G",Dallas Mavericks,"$1,500,000"
302,"Roy Hibbert, C",Indiana Pacers,"$1,465,440"
303,"Marco Belinelli, G",Golden State Warriors,"$1,446,720"
304,"Oleksiy Pecherov, C",Washington Wizards,"$1,446,720"
305,"Quincy Douby, SG",Toronto Raptors,"$1,427,040"
306,"Drew Gooden, PF",San Antonio Spurs,"$1,410,441"
307,"JaVale McGee, C",Washington Wizards,"$1,392,240"
308,"Javaris Crittenton, PG",Washington Wizards,"$1,381,560"
309,"Renaldo Balkman, SF",Denver Nuggets,"$1,369,920"
310,"JJ Hickson, C",Cleveland Cavaliers,"$1,329,480"
RK,NAME,TEAM,SALARY
311,"Jason Smith, F",New Orleans Pelicans,"$1,326,360"
312,"Calvin Booth, C",Sacramento Kings,"$1,319,651"
313,"Rajon Rondo, PG",Boston Celtics,"$1,315,080"
314,"Malik Allen, PF",Milwaukee Bucks,"$1,300,000"
315,"Alexis Ajinca, C",Charlotte Bobcats,"$1,276,320"
316,"Daequan Cook, SG",Miami Heat,"$1,273,200"
317,"Marcus Williams, PG",Golden State Warriors,"$1,262,520"
318,"Brian Skinner, PF",LA Clippers,"$1,262,275"
319,"Jacque Vaughn, PG",San Antonio Spurs,"$1,262,275"
320,"Roko-Leni Ukic, PG",Toronto Raptors,"$1,250,000"
RK,NAME,TEAM,SALARY
321,"Ryan Anderson, PF",New Jersey Nets,"$1,225,200"
322,"Jared Dudley, SF",Phoenix Suns,"$1,222,320"
323,"Josh Boone, C",New Jersey Nets,"$1,212,120"
324,"Joe Smith, PF",Cleveland Cavaliers,"$1,200,000"
325,"Ronnie Price, PG",Utah Jazz,"$1,188,000"
326,"Kosta Koufos, C",Utah Jazz,"$1,176,240"
327,"Courtney Lee, G",Orlando Magic,"$1,176,240"
328,"Wilson Chandler, F",New York Knicks,"$1,173,480"
329,"Kyle Lowry, PG",Houston Rockets,"$1,163,520"
330,"Morris Almond, SG",Utah Jazz,"$1,081,440"
RK,NAME,TEAM,SALARY
